Date,Open,High,Low,Close,Adj Close
2010-01-01,1.432706,1.4401959999999998,1.432706,1.438994,1.438994
2010-01-04,1.4310040000000002,1.445191,1.426208,1.4423979999999998,1.4423979999999998
2010-01-05,1.44271,1.44831,1.435194,1.436596,1.436596
2010-01-06,1.436596,1.44346,1.429123,1.440403,1.440403
2010-01-07,1.4403,1.444481,1.4302059999999999,1.4318030000000002,1.4318030000000002
2010-01-08,1.4320899999999999,1.443606,1.4271040000000002,1.441109,1.441109
2010-01-11,1.446487,1.455435,1.446487,1.451126,1.451126
2010-01-12,1.4508940000000001,1.4543760000000001,1.445964,1.44766,1.44766
2010-01-13,1.447807,1.457705,1.4458600000000001,1.452391,1.452391
2010-01-14,1.452412,1.455202,1.446257,1.44999,1.44999
2010-01-15,1.449906,1.45041,1.434576,1.4390969999999998,1.4390969999999998
2010-01-18,1.437236,1.4406729999999999,1.433692,1.4406729999999999,1.4406729999999999
2010-01-19,1.440507,1.4414,1.4257,1.428102,1.428102
2010-01-20,1.428408,1.429,1.408709,1.4110340000000001,1.4110340000000001
2010-01-21,1.411114,1.4140270000000001,1.403095,1.409702,1.409702
2010-01-22,1.409841,1.4181979999999998,1.408907,1.414107,1.414107
2010-01-25,1.415408,1.419426,1.413108,1.415008,1.415008
2010-01-26,1.414807,1.417897,1.404415,1.408232,1.408232
2010-01-27,1.408094,1.409741,1.400168,1.403095,1.403095
2010-01-28,1.4029969999999998,1.404968,1.394992,1.3968040000000002,1.3968040000000002
2010-01-29,1.396707,1.398699,1.386482,1.386693,1.386693
2010-02-01,1.3875979999999999,1.393709,1.3855790000000001,1.392699,1.392699
2010-02-02,1.392176,1.397624,1.388908,1.397624,1.397624
2010-02-03,1.397585,1.402406,1.388619,1.390105,1.390105
2010-02-04,1.390182,1.390608,1.372006,1.374495,1.374495
2010-02-05,1.374476,1.374608,1.358806,1.368008,1.368008
2010-02-08,1.364498,1.371404,1.362528,1.365467,1.365467
2010-02-09,1.365672,1.3839489999999999,1.3650950000000002,1.378208,1.378208
2010-02-10,1.378208,1.381101,1.368139,1.375327,1.375327
2010-02-11,1.375005,1.379958,1.3600079999999999,1.368176,1.368176
2010-02-12,1.3689440000000002,1.3689440000000002,1.353308,1.363494,1.363494
2010-02-15,1.362806,1.3631959999999999,1.358308,1.3603040000000002,1.3603040000000002
2010-02-16,1.3597299999999999,1.3777709999999999,1.359194,1.376709,1.376709
2010-02-17,1.3765379999999998,1.378873,1.3592309999999999,1.360692,1.360692
2010-02-18,1.361063,1.365318,1.345026,1.346149,1.346149
2010-02-19,1.347055,1.3620079999999999,1.345696,1.361507,1.361507
2010-02-22,1.362899,1.3653,1.357718,1.360563,1.360563
2010-02-23,1.360618,1.369263,1.349783,1.3527040000000001,1.3527040000000001
2010-02-24,1.352686,1.3621940000000001,1.350293,1.354316,1.354316
2010-02-25,1.354463,1.356999,1.345207,1.353601,1.353601
2010-02-26,1.353748,1.367858,1.353601,1.363104,1.363104
2010-03-01,1.3642940000000001,1.365393,1.346257,1.356208,1.356208
2010-03-02,1.355969,1.3623049999999999,1.3445200000000002,1.362064,1.362064
2010-03-03,1.3620079999999999,1.3734,1.359841,1.370163,1.370163
2010-03-04,1.370126,1.371197,1.355748,1.3584,1.3584
2010-03-05,1.358308,1.362899,1.353656,1.362899,1.362899
2010-03-08,1.364107,1.37037,1.3610440000000001,1.361693,1.361693
2010-03-09,1.361823,1.363587,1.353858,1.360692,1.360692
2010-03-10,1.360933,1.3676709999999999,1.354867,1.364331,1.364331
2010-03-11,1.364927,1.368794,1.3623049999999999,1.368532,1.368532
2010-03-12,1.368495,1.379405,1.367353,1.3769930000000001,1.3769930000000001
2010-03-15,1.377391,1.377391,1.364592,1.367746,1.367746
2010-03-16,1.367372,1.378284,1.3661020000000001,1.3768790000000002,1.3768790000000002
